ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCLHTPO23N000000001,장소,유적지,159787,고인돌공원,,,60607,천연기념물,4615036029104520000,전라남도,순천시,송광면,우산리,452,4615036029,4615036000,,,,127.224566946899,34.9792120897893,다라748649,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000002,장소,유적지,257207,통영삼도수군통제영,,,60603,유명사적/유적지,4822010600100620000,경상남도,통영시,문화동,,62,4822010600,4822055000,482203333018,세병로,41,128.42308748837,34.8477520042383,라라843507,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000003,장소,유적지,331650,정법사,,,180301,유명사찰,2714010100200450005,대구광역시,동구,신암동,,산45-5,2714010100,2714054100,271403007005,동북로,397,128.631521535098,35.8872099570375,마마021662,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000004,장소,유적지,331657,송광사,,,180301,유명사찰,4571034025105690002,전라북도,완주군,소양면,대흥리,569-2,4571034025,4571034000,457103273038,송광수만로,255-16,127.241749442819,35.8857827159707,다마766654,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000005,장소,유적지,331737,용암사,,,180301,유명사찰,4373025032200510004,충청북도,옥천군,옥천읍,삼청리,산51-4,4373025032,4373025000,437304526184,삼청2길,400,127.564128744387,36.2595930602118,라바057069,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000006,장소,유적지,331940,흥복사,,,180301,유명사찰,4521011300102640000,전라북도,김제시,흥사동,,264,4521011300,4521051000,452104616547,승반길,103,126.906630747243,35.8290274206904,다마464593,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000007,장소,유적지,332142,금당사,,,180301,유명사찰,4572037022100390001,전라북도,진안군,마령면,동촌리,39-1,4572037022,4572037000,457203274013,마이산남로,217,127.397456481648,35.7581611597718,다마907513,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000008,장소,유적지,332172,수종사,,,180301,유명사찰,4136036024110600000,경기도,남양주시,조안면,송촌리,1060,4136036024,4136036000,413604391363,북한강로433번길,186,127.30285795496,37.5711130406654,다사825524,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000009,장소,유적지,332213,봉림사,,,180301,유명사찰,5013010400101860000,제주특별자치도,서귀포시,호근동,,186,5013010400,5013059000,501304850951,태평로205번길,87,126.539353753202,33.2508208399061,다나105736,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000010,장소,유적지,332216,신원사,,,180301,유명사찰,4415033029100080000,충청남도,공주시,계룡면,양화리,8,4415033029,4415033000,441504553744,신원사동길,1,127.183912973442,36.3351158150883,다바716153,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000011,장소,유적지,332239,귀신사,,,180301,유명사찰,4521045030100820001,전라북도,김제시,금산면,청도리,82-1,4521045030,4521045000,452104616960,청도6길,40,127.046957561735,35.7453117295376,다마590499,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000012,장소,유적지,332516,태고사,,,180301,유명사찰,4128110700100150000,경기도,고양시 덕양구,북한동,,15,4128110700,4128156000,412814000001,대서문길,406,126.978649771958,37.6455859651561,다사540608,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000013,장소,유적지,332521,태고사,,,180301,유명사찰,4471037030105120001,충청남도,금산군,진산면,행정리,512-1,4471037030,4471037000,447103257052,청림동로,440,127.32511315915,36.1344214885841,다마842930,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000014,장소,유적지,332715,광덕사,,,180301,유명사찰,4413132021106400000,충청남도,천안시 동남구,광덕면,광덕리,640,4413132021,4413132000,441314547067,광덕사길,30,127.04235858076,36.6759190289193,다바591532,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000015,장소,유적지,332782,대원사,,,180301,유명사찰,4571035025109970000,전라북도,완주군,구이면,원기리,997,4571035025,4571035000,457104619113,모악산길,243,127.095803006594,35.7325221678233,다마634485,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000016,장소,유적지,332833,안국사,,,180301,유명사찰,4573033028116020001,전라북도,무주군,적상면,괴목리,1602-1,4573033028,4573033000,457303275060,산성로,1050,127.691477732359,35.9448063675751,라마172720,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000017,장소,유적지,332990,화계사,,,180301,유명사찰,1130510300104870000,서울특별시,강북구,수유동,,487,1130510300,1130561500,113054124615,화계사길,117,127.007349611378,37.6327071620334,다사565593,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000018,장소,유적지,333010,진관사,,,180301,유명사찰,1138011400103540000,서울특별시,은평구,진관동,,354,1138011400,1138069000,113804133268,진관길,73,126.946619353372,37.6381706256597,다사511599,20240104,KT,KC_507_LLR_HISTST_2023,20231220
