"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","ÆÑ½º¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈŞ¹«ÀÏ","±³ÅëÁ¤º¸","ÅÂ±×","Àå¾ÖÀÎÆíÀÇ½Ã¼³"
"16406","en","Night Views at Banpodaegyo Bridge","https://english.visitseoul.net/attractions/Night-Views-at-Banpodaegyo-Bridge/ENP016325?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP016325"," 649, Banpo-dong, Seocho-gu, Seoul (North end of Banpodaegyo Bridge Bridge)"," 2085-14, Olympic-daero, Seocho-gu, Seoul ","+82-2-3780-0578","","","","","","","SeoulNightViewSpots,RainbowFountain,Walking,Seoul,DateNight,BanpoNightView,HangangDate,SeoulTravel,BanpoBridgeMoonlightRainbowFountain,SeoulAtNight,SeoulScenery,NightView,Park,BanpodaegyoBridge,HangangParkBanpodaegyoBridge,BanpoHangangPark",""
"44217","en","Seochon Hanok Village","https://english.visitseoul.net/attractions/SeochonHanokVillage/ENPhyd9ee?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENPhyd9ee","  ","03037 45, Pilwoon-daero, Jongno-gu, Seoul ","","","","","","","Subway Line 5, Gyeongbokgung Station","SeochonHanokVillage,HanokViIllage,Seochon",""
"45412","en","Seoul Archival Services","https://english.visitseoul.net/attractions/seoularchivalservices/ENPkr613y?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENPkr613y"," ¼­¿ï Áß±¸ ÅÂÆò·Î1°¡ 31 ¼­¿ïµµ¼­°ü 3Ãş","04524 110 Sejong-daero, Jung-gu, Seoul (Seoul Library 3rd floor) Seoul Library 3rd floor","+82-2)2133-5695","","https://lib.seoul.go.kr/rwww/html/ko/seoulArchRoom.jsp","Every Tue-Sun, 09:00-18:00  (Closed on Mondays and public holidays)","Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mondays and public holidays","Subway Lines 1 & 2, City Hall Station, Exit 5","Tong Tong Tour, culture,City Hall, Seoul Library, records","Accessible Pathways,Accessible Restrooms,Elevators,Accessible Information Centers & Services(Wheelchair rentals, etc.)"
"45411","en","The replica of an old mayor¡¯s office","https://english.visitseoul.net/attractions/formermayorsoffice/ENP678cv8?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP678cv8"," 110 Sejong-daero, Jung-gu, Seoul (Seoul Library 3rd floor) ","04524 110 Sejong-daero, Jung-gu, Seoul (Seoul Library 3rd floor) ","+82-2)2133-5695	","","https://lib.seoul.go.kr/rwww/html/ko/oldMayorRoom.jsp","Every Tue-Sun, 09:00-18:00  (Closed on Mondays and public holidays)","Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mondays and public holidays","Subway Lines 1 & 2, City Hall Station, Exit 5"," Seoul Library, Tong Tong Tour, Seoul Mayor,City Hall, Mayor¡¯s Office","Accessible Restrooms,Accessible Information Centers & Services(Wheelchair rentals, etc.),Elevators,Accessible Pathways"
"45409","ja","«½«¦«ëÑÀ?ÙşûùÎ½","https://japanese.visitseoul.net/attractions/seoularchivalservices/JPPkr613y?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPPkr613y"," ¼­¿ï Áß±¸ ÅÂÆò·Î1°¡ 31 ¼­¿ïµµ¼­°ü 3Ãş","04524 «½«¦«ëã¼«Á«å«ó(ñé)?«»«¸«ç«ó«Ç«í110¡¢«½«¦«ë?ßöÎ½3Í­ «½«¦«ë?ßöÎ½3Í­","+82-2)2133-5695","","https://lib.seoul.go.kr/rwww/html/ko/seoulArchRoom.jsp","?ñÎûıèøìí~ìíèøìí¡¢09:00-18:00(êÅèøìíĞàªÓõæìíªÏıÌÎ½)","ûıèøìí¡¢â©èøìí¡¢ÙÊèøìí¡¢ÑÑèøìí¡¢÷Ïèøìí¡¢ìíèøìí","êÅèøìíĞàªÓÛöïÒıÌìí","ò¢ù»?1?àÊ/2?àÊ¡¸«·«Á«ç«ó¡¹?5ÛãõóÏ¢","ã¼?¡¢«½«¦«ë?ßöÎ½¡¢«È«ó«È«ó«Ä«¢?¡¢Ùşûù¡¢ÑÀ?","«Ğ«ê«¢«Õ«ê?«È«¤«ì,«¨«ì«Ù?«¿?,?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäĞ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ),«¢«¯«»«·«Ó«ê«Æ«£"
"4038","ja","«ß«ç«ó«É«ó¡¤«½«ó«À«ó(Ù¥Ô×á¡ÓÑ)","https://japanese.visitseoul.net/attractions/myeongdong-cathedral-jp/JPP004036?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP004036","100-022 «½«¦«ëã¼ñé?Ù¥Ô×2Ê¶ 1-1","100-022 «½«¦«ëã¼«Á«å«ó(ñé)?«ß«ç«ó«É«ó«®«ë74 (Ù¥Ô×2Ê¶)","+82-2-774-1784","","http://www.mdsd.or.kr","","","ìíèøìí","ò¢ù»?4?àÊ¡¸«ß«ç«ó«É«ó¡¹?9ÛãõóÏ¢ª«ªéÓù?10İÂ ò¢ù»2?àÊ¡¸«¦«ë«Á«í«¤«×«¯¡¹?5ÛãõóÏ¢ª«ªéÓù?15?20İÂ ò¢ù»2?àÊ¡¸«¦«ë«Á«í«µ«à«¬¡¹?12ÛãõóÏ¢ª«ªéÓù?10İÂ","Ù¥Ô×ñ«?ñ¨á¡ÓÑ,Ù¥Ô×á¡ÓÑ,«½«¦«ëğó?ã¿àâ,«´«·«Ã«¯,«­«ê«¹«È?,ë¶îæò¢¡¤Ùşûùî¯,«½«¦«ëá¡ÓÑ,?ŞÈ","«Ğ«ê«¢«Õ«ê?«È«¤«ì,«¨«ì«Ù?«¿?,«¢«¯«»«·«Ó«ê«Æ«£,?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íŞ"
"43564","zh-CN","İÖÎÃ?íİ?","https://chinese.visitseoul.net/attractions/2023067/CNP433ns6?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP433ns6","  ","03396 ëÚøÁ??ìéÖØ69Ê¶15 ","+82-2-353-8543","","futureheritage.seoul.go.kr/web/investigate/aroundHeritageView.do?htId=225","ñ²ìéò¸ñ²çé08:00~18:30£¬ñ²×¿08:00~15:00","ñ²ìé~ñ²×¿","ñ²ìí","Ëå›°3-6???ÎÃó×7?õóÏ¢305Ú·","âÏ?Ú±???, ??, óøÓï, ›ØÎÃÔ×, ëÚøÁ?, İ¨?, â¢Íïğ¤íÂ,?ğã,ÖÕïÁ, çéÑÑÍïÎı",""
"15338","ko","1898 ¸íµ¿¼º´ç ","https://korean.visitseoul.net/attractions/1898-¸íµ¿¼º´ç/KOP015338?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP015338","100-809 ¼­¿ï Áß±¸ ¸íµ¿2°¡ 1-1 ","04537 ¼­¿ï Áß±¸ ¸íµ¿±æ 74 (¸íµ¿2°¡, ¸íµ¿¼º´ç) ","02-774-1784","","","¼º´ç»ç¹«½Ç È­   ~   ±İ | 09:00 ~ 20:30 Åä  ¿ä  ÀÏ | 09:00 ~ 20:00 ÀÏ  ¿ä  ÀÏ | 09:00 ~ 21:00 ","","¼³³¯, Ãß¼® ´çÀÏ (¼º´ç»ç¹«½Ç: ¿ù¿äÀÏ ÈŞ¹«)","2È£¼± À»Áö·ÎÀÔ±¸¿ª 5¹ø Ãâ±¸    3È£¼± À»Áö·Î3°¡¿ª 12¹ø Ãâ±¸ 4È£¼± ¸íµ¿¿ª 9¹ø Ãâ±¸   ","¸íµ¿´ë¼º´ç, °íµñ,¸íµ¿, 1898±¤Àå,º¹ÇÕ¹®È­°ø°£,¸íµ¿³ªµéÀÌ, ¼º´ç",""
"23961","en","SeMA Bunker","https://english.visitseoul.net/attractions/SeMA-Bunker/ENP023532?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP023532","150-010 B-101, Uisadangdaero, Yeongdeungpo-gu, Seoul ","07327 101, Uisadang-daero, Yeongdeungpo-gu, Seoul ","+82-2-2124-8941","","https://sema.seoul.go.kr/en/index","Tuesday - Friday 10:00 - 20:00 KST Sat, Holiday 10:00 - 19:00 KST","","Mondays","Subway Lines 5 & 9, Yeouido Station, Exit 3","SeMABunker,Seoul20,YeouidoStation,SeMA,SeoulMuseumOfArt,Gallery,Yeouido,Culture,UndergroundBunker,History,Art",""
"23650","zh-TW","SeMA ò¢ÜÂ","https://tchinese.visitseoul.net/attractions/SeMA-ò¢ÜÂ/TCP023532?utm_source=seoulopendata&utm_medium=attractions&utm_content=TCP023532","150-010 âÏì³ã¼çµÔôøİÏ¡æ£ëøÓöÔ×2-6 ","07327 âÏì³ã¼çµÔôøİÏ¡ì¡ŞÀÓÑÓŞÖØ101 (æ£ëøÓöó×) ","+82-2-2124-8868","","https://sema.seoul.go.kr/en/index","ñÎì£ - ñÎçé 10:00 - 20:00 ñÎ×¿¡¢ÍëıÌìí 10:00 - 19:00","ñÎì£ - ñÎìí","ñÎìé","ò¢ôÑ5¡¢9ûÜàÊæ£ëøÓöó×3ûÜõóÏ¢òÁú¼200mı­£¬åÚæ£ëøÓöÍëê®Îßó©ÖØÏ¢éÓï®òÁú¼200m","âÏì³,âÏì³Õéú¼,ò¢ÜÂ,æ£ëøÓöÌØïÇ,SeMA Bunker,æ£ëøÓöï®ã«ñéãı,İúÚËò¢ÜÂ,SeMAò¢ÜÂ,æ£ëøÓöò¢ù»İúÚËò¢ÜÂ",""
